Brand,Summary of assessment findings or aggregate facility rating without naming individual facilities - At tier 1 level,Summary of assessment findings or aggregate facility rating without naming individual facilities - Beyond tier 1,Summary of assessment findings or aggregate facility rating without naming individual facilities - Raw material level,Facility-level rating by named facility  - At tier 1 level,Facility-level rating by named facility  - Beyond tier 1,Facility-level rating by named facility  - Raw material level,Selected audit findings/reports by named facility - At tier 1 level,Selected audit findings/reports by named facility - Beyond tier 1,Selected audit findings/reports by named facility - Raw material level,Full audit reports naming individual facilities - At tier 1 level,Full audit reports naming individual facilities - Beyond tier 1,Full audit reports naming individual facilities - Raw material level,Total
Topman,1,0,0,0,0,0,2,2,0,0,0,0,5
Topshop,1,0,0,0,0,0,2,2,0,0,0,0,5
TOPVALU COLLECTION,1,0,0,0,0,0,0,0,0,0,0,0,1
Tory Burch,0,0,0,0,0,0,0,0,0,0,0,0,0
Triumph,0,0,0,0,0,0,0,0,0,0,0,0,0
Truworths,0,0,0,0,0,0,0,0,0,0,0,0,0
UGG,1,1,0,0,0,0,0,0,0,0,0,0,2
Under Armour,0,0,0,0,0,0,0,0,0,0,0,0,0
Uniqlo,1,1,0,0,0,0,2,2,0,0,0,0,6
United Arrows,0,0,0,0,0,0,0,0,0,0,0,0,0
United Colors of Benetton,1,0,0,0,0,0,2,2,0,0,0,0,5
Urban Outfitters,0,0,0,0,0,0,0,0,0,0,0,0,0
Valentino,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Heusen,1,0,0,0,0,0,2,2,0,0,0,0,5
Vans,1,1,0,0,0,0,2,2,0,0,0,0,6
Vero Moda,1,0,0,0,0,0,2,0,0,0,0,0,3
Versace,0,0,0,0,0,0,0,0,0,0,0,0,0
Very,0,0,0,0,0,0,2,0,0,0,0,0,2
Victoria's Secret,1,1,1,0,0,0,0,0,0,0,0,0,3
Walmart,1,1,0,0,0,0,0,0,0,0,0,0,2
Woolworths South Africa,1,0,0,0,0,0,0,0,0,0,0,0,1
Wrangler,0,0,0,0,0,0,0,0,0,0,0,0,0
Youngor,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalando,0,0,0,0,0,0,2,0,0,0,0,0,2
Zara,1,1,1,0,0,0,0,0,0,0,0,0,3
Zeeman,1,0,0,0,0,0,2,0,0,0,0,0,3
