Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has a trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of its tier one factories is published,If list/map covers at least 95% of the tier one factories in its supply chain,Publishes that this list or map of tier one factories has been updated within the past 6 months,Total
Clarks,3,3,3,2,2,0,0,1,0,0,3,1,2,0,20
COACH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Haan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia Sportswear,3,0,3,0,2,0,0,1,0,1,3,0,0,0,13
Converse,3,3,3,2,2,0,0,1,1,0,3,1,2,1,22
Cortefiel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotton On,3,3,3,2,2,0,0,1,1,0,0,0,0,1,16
Decathlon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deichmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desigual,3,3,3,2,0,0,0,0,0,0,3,1,2,0,17
Dick's Sporting Goods,3,3,3,2,2,0,0,1,0,0,0,0,0,1,15
Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillard's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disney,3,0,3,0,0,0,0,0,0,0,0,0,0,1,7
DKNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolce & Gabbana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Martens,3,0,0,2,0,0,0,0,0,0,3,0,0,1,9
Dressmann,3,3,3,2,2,0,0,1,0,0,3,1,2,1,21
DSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Bauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Corte Inglés,3,0,3,2,0,0,0,0,0,0,3,0,0,0,11
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,3,3,3,2,2,2,1,1,1,1,0,0,0,1,20
Esprit,3,3,3,2,2,2,0,1,1,0,3,1,2,1,24
Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
